Date,Sale-Price,ZHVI-All home,ZHVI2,ZHVI3,ZHIV4,ZHIV5,Sale Count,ZHVI-Condo,ZHVI-SF,ZHIV-1B,ZHIV-2B,ZHIV-3B,ZHIV-4B,ZHIV-5B,MHVPS,MHVPS2,MHVPS3,MHVPS4,MHVPS5,BSI,MSInventory,ZRI,SLR,Days,Unemployment,LI,FMR30
2009-01,243200,365000,133225,48627.125,1774890.063,647.8348728,36504,337300,370700,248100,304500,347000,444000,602700,237,56169,13312.053,315495.6561,74.7724705,,,,,,9.7,-3.62,5.1
2009-02,236800,360100,129672.01,46694.8908,1681483.018,605.5020347,39370,334300,365400,243900,299500,341800,438800,597600,234,54756,12812.904,299821.9536,70.15833714,,,,,,10.1,-2.93,5.07
2009-03,227800,354600,125741.16,44587.81534,1581083.932,560.6523622,38933,330700,359500,239400,293900,336100,433000,591500,230,52900,12167,279841,64.36343,,,,,,10.5,-2.51,4.85
2009-04,221000,348600,121521.96,42362.55526,1476758.676,514.7980745,36867,326800,353200,234900,288000,330000,426700,584400,225,50625,11390.625,256289.0625,57.66503906,,,,,,10.8,-1.52,4.78
2009-05,216300,342500,117306.25,40177.39063,1376075.629,471.3059029,34272,322600,346700,230100,282100,323700,420200,577000,221,48841,10793.861,238544.3281,52.71829651,,,,,,11,-0.19,4.91
2009-06,220600,337400,113838.76,38409.19762,1295926.328,437.245543,34063,319000,341100,225700,276800,318300,414900,571000,218,47524,10360.232,225853.0576,49.23596656,,,,,,11.2,0.13,5.42
2009-07,230500,334500,111890.25,37427.28863,1251942.805,418.7748681,34987,316900,337900,222300,273100,315000,412300,568000,216,46656,10077.696,217678.2336,47.01849846,,,,,,11.4,-0.02,5.25
2009-08,238900,333100,110955.61,36959.31369,1231114.739,410.0843196,34958,316000,336500,219700,270800,313400,411700,567200,215,46225,9938.375,213675.0625,45.94013844,,,,,,11.5,0.75,5.14
2009-09,245100,332600,110622.76,36793.12998,1223739.503,407.0157587,35336,315600,336200,217700,269300,312600,412100,567600,215,46225,9938.375,213675.0625,45.94013844,,,,,,11.7,0.55,5.04
2009-10,249200,332900,110822.41,36892.78029,1228160.656,408.8546823,35208,315500,336500,216400,268500,312500,413200,568800,215,46225,9938.375,213675.0625,45.94013844,,,,,,11.8,0.9,5.03
2009-11,255200,333500,111222.25,37092.62038,1237038.89,412.5524697,36275,315700,337200,215600,268200,312800,414400,570300,215,46225,9938.375,213675.0625,45.94013844,,,,,,11.9,1.03,4.78
2009-12,260600,334200,111689.64,37326.67769,1247457.568,416.9003193,37286,316200,337900,214900,267900,312900,415300,571600,215,46225,9938.375,213675.0625,45.94013844,,,,,,12.1,0.58,5.14
2010-01,263500,335000,112225,37595.375,1259445.063,421.9140959,37424,316900,338800,214700,266900,313300,416300,573100,215,46225,9938.375,213675.0625,45.94013844,,,,0.966355796,109,12.2,0.55,4.98
2010-02,264200,335400,112493.16,37730.20586,1265471.105,424.4390085,38221,317400,339300,215100,266900,314000,417000,574300,215,46225,9938.375,213675.0625,45.94013844,,,,0.962682531,115,12.2,1.42,5.05
2010-03,262800,335000,112225,37595.375,1259445.063,421.9140959,37305,316200,339000,213900,267200,313800,416700,573900,215,46225,9938.375,213675.0625,45.94013844,,,,0.966666667,107,12.3,1.39,4.99
2010-04,260700,335100,112292.01,37629.05255,1260949.551,422.5441945,36083,315200,339100,211800,266900,313700,416800,573800,216,46656,10077.696,217678.2336,47.01849846,,,,0.966101695,103,12.2,2.27,5.06
2010-05,263800,335800,112761.64,37865.35871,1271518.746,426.9759948,34630,315200,340100,210900,266400,314600,417800,574700,216,46656,10077.696,217678.2336,47.01849846,,,,0.968992248,89,12.2,1.97,4.78
2010-06,263900,335700,112694.49,37831.54029,1270004.808,426.3406139,33683,314600,340100,210400,265900,315200,417500,573900,216,46656,10077.696,217678.2336,47.01849846,,,,0.968085106,91,12.2,1.65,4.69
2010-07,267100,334200,111689.64,37326.67769,1247457.568,416.9003193,32259,312700,338800,208800,264400,314300,415600,570900,215,46225,9938.375,213675.0625,45.94013844,,,,0.966881529,85,12.2,1.3,4.54
2010-08,263800,332900,110822.41,36892.78029,1228160.656,408.8546823,30633,311100,337500,207100,263200,313100,413700,568100,214,45796,9800.344,209727.3616,44.88165538,,,,0.962566845,87,12.2,1.21,4.36
